Inches,Pixels,Kicker,Shooter,Hood,TOF
121.5,255,6404,7698,2136,1.094
122.2,254,6412,7716,2142,1.096
122.9,253,6419,7734,2147,1.098
123.5,252,6426,7753,2152,1.100
124.2,251,6433,7772,2158,1.103
124.9,250,6440,7791,2163,1.105
125.5,249,6447,7811,2168,1.107
126.2,248,6454,7831,2174,1.109
126.9,247,6460,7851,2180,1.112
127.6,246,6467,7871,2185,1.114
128.3,245,6474,7892,2191,1.116
129.0,244,6481,7913,2196,1.118
129.7,243,6489,7934,2202,1.121
130.4,242,6496,7955,2208,1.123
131.2,241,6503,7977,2214,1.126
131.9,240,6511,7998,2220,1.128
132.6,239,6518,8020,2226,1.130
133.4,238,6526,8042,2231,1.133
134.1,237,6534,8065,2237,1.135
134.9,236,6543,8087,2243,1.138
135.7,235,6552,8109,2250,1.140
136.4,234,6561,8132,2256,1.143
137.2,233,6571,8155,2262,1.145
138.0,232,6581,8178,2268,1.148
138.8,231,6592,8201,2274,1.150
139.6,230,6603,8224,2281,1.153
140.4,229,6614,8247,2287,1.156
141.2,228,6627,8270,2293,1.158
142.1,227,6640,8294,2300,1.161
142.9,226,6653,8317,2306,1.163
143.7,225,6668,8340,2313,1.166
144.6,224,6683,8364,2320,1.169
145.4,223,6699,8387,2326,1.172
146.3,222,6716,8410,2333,1.174
147.2,221,6733,8434,2340,1.177
148.1,220,6751,8457,2346,1.180
149.0,219,6771,8481,2353,1.183
149.9,218,6791,8504,2360,1.186
150.8,217,6811,8527,2367,1.188
151.7,216,6833,8550,2374,1.191
152.6,215,6856,8573,2381,1.194
153.5,214,6879,8596,2388,1.197
154.5,213,6904,8619,2395,1.200
155.4,212,6929,8642,2403,1.203
156.4,211,6955,8665,2410,1.206
157.4,210,6981,8687,2417,1.214
158.4,209,6917,8631,2424,1.222
159.4,208,6944,8655,2432,1.229
160.4,207,6971,8679,2439,1.236
161.4,206,7000,8702,2447,1.242
162.4,205,7029,8725,2454,1.248
163.4,204,7059,8748,2462,1.254
164.5,203,7090,8771,2470,1.259
165.6,202,7121,8794,2477,1.264
166.6,201,7153,8816,2485,1.268
167.7,200,7186,8838,2487,1.272
168.8,199,7219,8860,2493,1.275
169.9,198,7252,8882,2503,1.279
171.0,197,7286,8903,2517,1.281
172.2,196,7320,8924,2535,1.284
173.3,195,7355,8945,2556,1.286
174.5,194,7389,8966,2580,1.288
175.6,193,7424,8986,2607,1.289
176.8,192,7459,9006,2637,1.290
178.0,191,7495,9025,2670,1.291
179.2,190,7530,9045,2705,1.291
180.4,189,7565,9064,2742,1.291
181.6,188,7600,9082,2781,1.291
182.9,187,7635,9101,2821,1.291
184.2,186,7670,9119,2863,1.290
185.4,185,7705,9137,2907,1.289
186.7,184,7739,9154,2952,1.288
188.0,183,7773,9171,2997,1.287
189.3,182,7807,9188,3044,1.285
190.7,181,7841,9204,3091,1.284
192.0,180,7874,9221,3139,1.282
193.4,179,7907,9237,3188,1.280
194.8,178,7939,9252,3236,1.278
196.2,177,7971,9268,3285,1.276
197.6,176,8003,9283,3334,1.274
199.0,175,8035,9298,3383,1.272
200.4,174,8066,9312,3431,1.270
201.9,173,8096,9327,3480,1.268
203.4,172,8208,9379,3528,1.265
204.9,171,8238,9392,3575,1.263
206.4,170,8267,9406,3622,1.261
207.9,169,8297,9420,3668,1.259
209.5,168,8326,9433,3713,1.257
211.0,167,8355,9446,3758,1.255
212.6,166,8383,9460,3801,1.253
214.2,165,8412,9473,3844,1.252
215.8,164,8441,9486,3886,1.250
217.5,163,8470,9499,3926,1.249
219.1,162,8499,9513,3966,1.248
220.8,161,8528,9526,4004,1.247
222.5,160,8557,9540,4041,1.246
224.2,159,8674,9594,4077,1.245
226.0,158,8705,9609,4112,1.245
227.7,157,8737,9624,4146,1.245
229.5,156,8768,9639,4178,1.245
231.3,155,8801,9654,4209,1.245
233.1,154,8834,9670,4239,1.245
235.0,153,8867,9687,4268,1.246
236.8,152,8902,9703,4296,1.247
238.7,151,8937,9721,4322,1.249
240.6,150,8972,9739,4347,1.250
242.6,149,9009,9757,4371,1.252
244.5,148,9046,9776,4394,1.254
246.5,147,9084,9796,4416,1.256
248.5,146,9123,9817,4437,1.259
250.5,145,9163,9838,4457,1.262
252.6,144,9204,9860,4476,1.265
254.7,143,9245,9884,4494,1.268
256.8,142,9287,9908,4512,1.272
258.9,141,9385,9967,4529,1.275
261.1,140,9428,9994,4545,1.279
263.2,139,9472,10023,4561,1.283
265.4,138,9515,10053,4577,1.288
267.7,137,9558,10084,4592,1.292
269.9,136,9601,10117,4608,1.297
272.2,135,9643,10151,4623,1.301
274.5,134,9683,10187,4638,1.306
276.9,133,9723,10225,4654,1.311
279.2,132,9761,10264,4669,1.315
281.6,131,9797,10305,4686,1.320
284.1,130,9831,10348,4703,1.325
286.5,129,9862,10393,4720,1.329
289.0,128,9891,10440,4739,1.334
291.5,127,9924,10502,4759,1.338
