Inches,Pixels,Kicker,Shooter,Hood
81.4,338,6118,7158,1827
81.8,337,6120,7161,1829
82.1,336,6121,7163,1832
82.5,335,6122,7165,1834
82.9,334,6123,7167,1837
83.2,333,6124,7169,1839
83.6,332,6125,7170,1842
84.0,331,6126,7172,1845
84.4,330,6127,7174,1847
84.7,329,6128,7176,1850
85.1,328,6129,7177,1853
85.5,327,6130,7179,1855
85.9,326,6131,7181,1858
86.3,325,6132,7182,1861
86.7,324,6132,7184,1864
87.1,323,6133,7186,1867
87.4,322,6134,7187,1870
87.8,321,6135,7189,1872
88.3,320,6136,7191,1875
88.7,319,6137,7193,1878
89.1,318,6139,7195,1881
89.5,317,6140,7197,1884
89.9,316,6141,7199,1887
90.3,315,6142,7201,1890
90.7,314,6144,7203,1893
91.1,313,6145,7206,1897
91.6,312,6146,7208,1900
92.0,311,6148,7211,1903
92.4,310,6150,7214,1906
92.9,309,6151,7217,1909
93.3,308,6153,7220,1913
93.7,307,6155,7223,1916
94.2,306,6157,7227,1919
94.6,305,6159,7230,1923
95.1,304,6162,7234,1926
95.5,303,6164,7238,1930
96.0,302,6167,7243,1933
96.4,301,6169,7247,1937
96.9,300,6172,7252,1940
97.4,299,6175,7257,1944
97.8,298,6178,7262,1947
98.3,297,6181,7268,1951
98.8,296,6185,7273,1955
99.3,295,6188,7279,1958
99.7,294,6192,7286,1962
100.2,293,6196,7292,1966
100.7,292,6200,7299,1970
101.2,291,6204,7306,1973
101.7,290,6209,7313,1977
102.2,289,6213,7321,1981
102.7,288,6218,7329,1985
103.2,287,6223,7337,1989
103.7,286,6228,7346,1993
104.2,285,6233,7355,1997
104.7,284,6239,7364,2001
105.3,283,6244,7374,2005
105.8,282,6250,7383,2010
106.3,281,6256,7394,2014
106.8,280,6262,7404,2018
107.4,279,6268,7415,2022
107.9,278,6274,7426,2027
108.5,277,6281,7437,2031
109.0,276,6287,7449,2035
109.6,275,6294,7461,2040
110.1,274,6301,7474,2044
110.7,273,6307,7487,2049
111.2,272,6314,7500,2053
111.8,271,6321,7513,2058
112.4,270,6328,7527,2062
113.0,269,6335,7541,2067
113.6,268,6342,7556,2072
114.1,267,6349,7570,2076
114.7,266,6356,7586,2081
115.3,265,6363,7601,2086
115.9,264,6370,7617,2091
116.5,263,6377,7633,2096
117.1,262,6384,7649,2101
117.8,261,6391,7666,2106
118.4,260,6398,7683,2111
119.0,259,6405,7700,2116
119.6,258,6412,7717,2121
120.3,257,6419,7735,2126
120.9,256,6426,7753,2131
121.5,255,6433,7772,2136
122.2,254,6439,7790,2142
122.9,253,6446,7809,2147
123.5,252,6453,7829,2152
124.2,251,6459,7848,2158
124.9,250,6466,7868,2163
125.5,249,6473,7888,2168
126.2,248,6480,7908,2174
126.9,247,6487,7928,2180
127.6,246,6493,7949,2185
128.3,245,6501,7969,2191
129.0,244,6508,7990,2196
129.7,243,6515,8012,2202
130.4,242,6523,8033,2208
131.2,241,6531,8054,2214
131.9,240,6539,8076,2220
132.6,239,6547,8098,2226
133.4,238,6556,8120,2231
134.1,237,6565,8142,2237
134.9,236,6575,8164,2243
135.7,235,6585,8186,2250
136.4,234,6595,8209,2256
137.2,233,6606,8231,2262
138.0,232,6618,8254,2268
138.8,231,6630,8277,2274
139.6,230,6643,8299,2281
140.4,229,6657,8322,2287
141.2,228,6671,8345,2293
142.1,227,6686,8368,2300
142.9,226,6701,8391,2306
143.7,225,6718,8413,2313
144.6,224,6735,8436,2320
145.4,223,6753,8459,2326
146.3,222,6772,8482,2333
147.2,221,6791,8505,2340
148.1,220,6812,8527,2346
149.0,219,6833,8550,2353
149.9,218,6855,8573,2360
150.8,217,6878,8595,2367
151.7,216,6902,8618,2374
152.6,215,6926,8640,2381
153.5,214,6952,8662,2388
154.5,213,6978,8684,2395
155.4,212,7005,8706,2403
156.4,211,7032,8728,2410
157.4,210,7061,8750,2417
158.4,209,6989,8693,2424
159.4,208,7017,8716,2432
160.4,207,7046,8739,2439
161.4,206,7076,8761,2447
162.4,205,7107,8784,2454
163.4,204,7138,8806,2462
164.5,203,7170,8828,2470
165.6,202,7202,8849,2477
166.6,201,7235,8871,2485
167.7,200,7268,8892,2487
168.8,199,7302,8913,2493
169.9,198,7336,8934,2503
171.0,197,7370,8954,2517
172.2,196,7405,8975,2535
173.3,195,7440,8995,2556
174.5,194,7475,9014,2580
175.6,193,7510,9034,2607
176.8,192,7545,9053,2637
178.0,191,7580,9072,2670
179.2,190,7615,9090,2705
180.4,189,7650,9109,2742
181.6,188,7685,9127,2781
182.9,187,7720,9144,2821
184.2,186,7754,9162,2863
185.4,185,7789,9179,2907
186.7,184,7823,9196,2952
188.0,183,7857,9212,2997
189.3,182,7890,9229,3044
190.7,181,7924,9245,3091
192.0,180,7957,9261,3139
193.4,179,7989,9276,3188
194.8,178,8022,9292,3236
196.2,177,8054,9307,3285
197.6,176,8085,9322,3334
199.0,175,8117,9336,3383
200.4,174,8148,9351,3431
201.9,173,8179,9365,3480
203.4,172,8209,9379,3528
204.9,171,8240,9393,3575
206.4,170,8270,9407,3622
207.9,169,8300,9421,3668
209.5,168,8330,9435,3713
211.0,167,8359,9448,3758
212.6,166,8389,9462,3801
214.2,165,8418,9476,3844
215.8,164,8448,9489,3886
217.5,163,8477,9503,3926
219.1,162,8507,9516,3966
220.8,161,8537,9530,4004
222.5,160,8567,9544,4041
224.2,159,8685,9599,4077
226.0,158,8717,9614,4112
227.7,157,8749,9630,4146
229.5,156,8782,9645,4178
231.3,155,8815,9661,4209
233.1,154,8849,9678,4239
235.0,153,8884,9695,4268
236.8,152,8920,9712,4296
238.7,151,8956,9730,4322
240.6,150,8993,9749,4347
242.6,149,9031,9768,4371
244.5,148,9070,9788,4394
246.5,147,9109,9809,4416
248.5,146,9149,9831,4437
250.5,145,9191,9853,4457
252.6,144,9233,9876,4476
254.7,143,9275,9901,4494
256.8,142,9319,9926,4512
258.9,141,9363,9953,4529
261.1,140,9407,9981,4545
263.2,139,9452,10010,4561
265.4,138,9497,10040,4577
267.7,137,9541,10072,4592
269.9,136,9585,10105,4608
272.2,135,9629,10140,4623
274.5,134,9672,10176,4638
276.9,133,9713,10215,4654
279.2,132,9752,10255,4669
281.6,131,9790,10297,4686
284.1,130,9825,10340,4703
286.5,129,9858,10386,4720
289.0,128,9888,10435,4739
291.5,127,9922,10497,4759
